mz,time,mz.min,mz.max,NumPres.All.Samples,NumPres.Biological.Samples,median_CV,Qscore,Max.Intensity,DW_140904_001.cdf,DW_140904_007.cdf,DW_140904_013.cdf,DW_140904_019.cdf,DW_140904_025.cdf,DW_140904_031.cdf,DW_140904_037.cdf,DW_140904_043.cdf,DW_140904_049.cdf,DW_140904_055.cdf,DW_140904_061.cdf,DW_140904_067.cdf,DW_140904_073.cdf,DW_140904_079.cdf,DW_140904_085.cdf,DW_140904_091.cdf,DW_140904_097.cdf,DW_140904_103.cdf,DW_140904_109.cdf,DW_140904_115.cdf,DW_140904_121.cdf,DW_140904_127.cdf,DW_140904_133.cdf,DW_140904_139.cdf,DW_140904_145.cdf,DW_140904_151.cdf,DW_140904_157.cdf,DW_140904_163.cdf,DW_140904_169.cdf,DW_140904_175.cdf,DW_140904_181.cdf,DW_140904_187.cdf,DW_140904_193.cdf,DW_140904_199.cdf,DW_140904_205.cdf,DW_140904_211.cdf,DW_140904_217.cdf
102.0066824,123.8234916,102.0058212,102.0075515,107,36,5.6,1.060033999,121402543,1382880,16659957.33,16903931.67,8837642,9592984.667,6850976.333,10016237,8175639.333,46481917.33,8803674.667,8375697.667,6442547,5580913.667,9882805.667,4400002.333,5610580.333,6446510.667,5050640.333,5270463.333,5278739.333,5730437,4817499.333,4254780.667,52933969.67,39746626,30897632.5,74530334.67,24964150,61000310.67,18854487,15807485,17172969,11467828,13083067.33,9286703,14741001.67,12783151
102.0267874,196.7152201,102.0260981,102.0275397,18,3,2.033,1.730742205,8353398.742,3726889,0,0,0,0,0,7231548,6986687,0,7736689,6652682,3440114,0,7705058,5450631,0,0,0,7047846,5667405,5104277,0,3288180.5,0,0,0,0,0,0,0,0,0,5068288,0,5641912,0,6774361
102.0267987,476.976482,102.0260578,102.0277917,36,10,4.792,1.020535118,37415914.21,18344384,27325218,28116236,28063432,26990145,29936601.67,26968045.5,29030918,0,0,25688007,29909276,33101859,0,25691838,0,33558171,0,21825900,33406058,30189403,35585089,27333503,0,0,0,0,6614051,0,32642078.5,35935432,31573792,37415914,0,34253827.5,0,0
102.0342659,123.0982002,102.0340457,102.0344342,104,35,2.033,12.94588707,29729109212,863682901.3,6427855435,0,3336119111,4734828321,4128581981,4817991736,4554298809,19979593836,4760636850,4343515379,3514706198,3187338228,4951640438,2582569305,3212355376,3234054501,2920635897,2505515264,2963429180,3278061090,2716820791,2521945861,21148688425,16250841191,6552805960,24703159915,10298280380,26048195701,8317603579,7833967052,8175704861,5737080748,6306534413,4654821012,7064045989,6035256969
102.03428,482.6117125,102.0341444,102.0344616,27,5,21.05,0.845942245,3200086557,0,344702002,0,365065682,0,727077710,612433834,717560481,2951000760,2942517386,574682272,0,0,952500851,461868330,453386794.5,837006361,841730139,0,555753159,294131241,0,1003146585,0,0,0,0,0,0,3200086557,733685252,862617213,1040497179,1224227056,431864550,0,0
102.0343451,190.5434144,102.03417,102.0344499,40,13,4.061,8.697707278,707065692.7,0,515303695,0,0,559395623,633549532,525082818,547881753.5,0,570789137.3,529420013,557743751.5,588569714.5,526022412.5,567101157,588112065,582712705,484898459,501092244,558279956.5,560429246.7,479645599.3,0,0,0,0,0,0,0,482862778.3,0,493991371,468055663,0,333451404,423568916,0
102.0416064,123.2402716,102.0406666,102.0427097,108,37,6.045,0.847325477,339463610.7,8038155,68985006,82793191.33,45258889.67,50553003,44707408.67,55029844.33,50672167.67,218462851.3,50757474.67,49207749.5,38650835,35612110.33,58716919.33,28180957.67,34958295.33,34920884.33,31736125,24454544,32602317.33,36044507.33,31493462.67,27519916.67,227748163,192336551,169362800,283592456.3,113666482,302720956.7,96420377.33,88671006.67,106361745,64846631.33,71681972.67,52963187.67,79212545.33,68661743.33
102.0416444,479.9370185,102.0407566,102.0422839,36,9,4.453,1.121957507,37081105.03,3825519,4972900,0,0,0,0,6607759,4307576,24979697,26521005.5,25446516.67,26144732,10055457,27224711,0,7528096,5028010,9654937,5839361,9752536,11959528,7080413.5,0,24699646,0,0,0,0,0,0,28103206,23243356.5,10961068.5,29468299.5,21638293,11962468,10081395
102.0417679,197.089925,102.0410189,102.0424727,19,7,11.53,0.67174581,163109884,3132623.5,0,0,0,0,0,0,0,0,0,0,9300097.5,0,6630334.5,0,6373292.5,6267878,0,4675957,5948197,0,6687098,8780327.5,0,0,0,0,163109884,0,8727750,0,0,7671791.5,0,0,0,0
102.0456214,488.6344725,102.0447456,102.0475798,47,15,7.566,0.454864149,43429258.88,5829434,7009909.5,6964264.667,6866664.333,7178643,6544234.5,7960969,7308361,8396541,8770665.5,7304719,8216009.5,8235674,0,7878691,9300513,5831320,7989934,6643349,0,0,7156435,5216363,0,0,0,8859593,5744607.5,8873747,8442450.333,10845566,26128055.5,0,9073665.5,5825218.5,0,0
